state,date,inpatient_beds,inpatient_beds_used,inpatient_beds_used_covid,dec_percent_bed_used,dec_percent_beds_used_COVID,dec_percent_COVID_of_beds_used
RI,3/3/20,79,70,1,0.886075949,0.012658228,0.014285714
TX,1/24/20,801,49,0,0.061173533,0,0
IN,2/13/20,30,13,0,0.433333333,0,0
OH,3/18/20,916,397,25,0.433406114,0.027292576,0.062972292
TX,2/26/20,769,30,0,0.039011704,0,0
AL,3/16/20,345,26,2,0.075362319,0.005797101,0.076923077
ME,3/14/20,141,94,0,0.666666667,0,0
TX,1/18/20,779,27,0,0.03465982,0,0
KS,2/1/20,36,,0,0,0,#DIV/0!
MN,1/11/20,46,,0,0,0,#DIV/0!
TX,3/9/20,4906,2778,103,0.566245414,0.0209947,0.037077034
NC,1/29/20,72,57,0,0.791666667,0,0
TX,3/11/20,5144,2884,144,0.560653188,0.027993779,0.049930652
NC,3/7/20,72,63,0,0.875,0,0
WY,3/4/20,14,8,0,0.571428571,0,0
OH,3/3/20,134,72,0,0.537313433,0,0
HI,3/2/20,803,653,0,0.813200498,0,0
NY,3/15/20,1960,1599,88,0.815816327,0.044897959,0.055034396
WI,3/6/20,51,,,0,0,#DIV/0!
ME,3/17/20,141,93,2,0.659574468,0.014184397,0.021505376
MT,2/12/20,36,15,0,0.416666667,0,0
NC,2/14/20,72,52,0,0.722222222,0,0
NV,1/31/20,85,23,0,0.270588235,0,0
HI,2/15/20,4,0,0,0,0,#DIV/0!
HI,3/12/20,803,647,3,0.805728518,0.00373599,0.004636785
AZ,3/6/20,50,50,0,1,0,0
OK,3/13/20,330,158,1,0.478787879,0.003030303,0.006329114
ND,3/2/20,27,3,0,0.111111111,0,0
NV,3/7/20,85,15,0,0.176470588,0,0
MN,1/19/20,46,,0,0,0,#DIV/0!
NY,3/16/20,2161,1676,97,0.775566867,0.044886627,0.057875895
NC,1/6/20,72,63,0,0.875,0,0
IN,3/9/20,55,18,0,0.327272727,0,0
NE,3/4/20,44,1,0,0.022727273,0,0
KS,2/6/20,36,,0,0,0,#DIV/0!
GA,3/4/20,94,55,0,0.585106383,0,0
ME,3/16/20,141,87,3,0.617021277,0.021276596,0.034482759
NC,3/6/20,72,63,0,0.875,0,0
AL,3/13/20,96,27,0,0.28125,0,0
WA,3/1/20,317,191,0,0.602523659,0,0
TX,1/9/20,79,51,0,0.64556962,0,0
HI,2/1/20,4,0,0,0,0,#DIV/0!
AL,2/28/20,6,,,0,0,#DIV/0!
MT,2/9/20,36,5,0,0.138888889,0,0
OK,3/5/20,14,0,0,0,0,#DIV/0!
KY,3/3/20,25,13,0,0.52,0,0
VI,10/18/20,188,82,3,0.436170213,0.015957447,0.036585366
VA,3/6/20,115,,0,0,0,#DIV/0!
MN,2/23/20,46,,0,0,0,#DIV/0!
HI,1/2/20,4,0,0,0,0,#DIV/0!
IN,2/10/20,30,16,0,0.533333333,0,0
MD,3/13/20,6,4,0,0.666666667,0,0
MN,1/13/20,46,,0,0,0,#DIV/0!
PR,3/16/20,213,129,2,0.605633803,0.009389671,0.015503876
AK,10/15/20,1558,928,59,0.59563543,0.037869063,0.063577586
MT,1/5/20,36,11,0,0.305555556,0,0
TX,1/29/20,88,56,0,0.636363636,0,0
ME,3/9/20,141,119,2,0.843971631,0.014184397,0.016806723
RI,10/14/20,2329,2055,128,0.882352941,0.05495921,0.062287105
IA,10/13/20,8228,5225,516,0.635026738,0.062712688,0.098755981
AL,2/15/20,6,,,0,0,#DIV/0!
MN,2/22/20,46,,0,0,0,#DIV/0!
NH,10/13/20,3245,2136,34,0.658243451,0.010477658,0.015917603
TX,1/16/20,798,44,0,0.055137845,0,0
ND,10/11/20,2391,1673,243,0.699707235,0.101631117,0.145248057
MS,3/3/20,29,10,0,0.344827586,0,0
OR,2/28/20,84,73,0,0.869047619,0,0
MN,2/3/20,46,,0,0,0,#DIV/0!
AL,2/18/20,6,,,0,0,#DIV/0!
HI,10/9/20,1622,1830,110,1.128236745,0.067817509,0.06010929
NC,2/3/20,72,49,0,0.680555556,0,0
MT,3/5/20,58,34,0,0.586206897,0,0
WY,3/11/20,14,8,0,0.571428571,0,0
NV,2/10/20,85,14,0,0.164705882,0,0
NH,10/7/20,3244,2227,44,0.68649815,0.013563502,0.019757521
MS,2/24/20,16,11,0,0.6875,0,0
ID,10/6/20,3834,2086,191,0.544079291,0.049817423,0.0915628
KY,3/17/20,870,190,0,0.218390805,0,0
NE,3/11/20,44,1,0,0.022727273,0,0
IN,1/22/20,30,17,0,0.566666667,0,0
WY,3/18/20,14,5,0,0.357142857,0,0
